csf_function,csf_subcategory_id,csf_subcategory_name,question,evidence,notes,response
Govern,GV.PO-01,Policy for managing cybersecurity risks is established,Has a formal cybersecurity policy been established and communicated to the organization?,"Security policy document, communication records, staff acknowledgments",,Partial
Govern,GV.RR-01,Organizational leadership is responsible for cybersecurity risk,Is there a named individual or role accountable for cybersecurity with documented authority?,"Organizational chart, role descriptions, RACI matrix, board minutes",,No
Govern,GV.RM-01,Risk management objectives are established,Are risk appetite and tolerance statements documented and agreed upon by leadership?,"Risk appetite statement, board approval records, risk register",,No
Govern,GV.SC-01,Supply chain risk management program is established,Do you maintain security requirements for vendors and third parties?,"Vendor inventory, contracts with security clauses, third-party assessments",,No
Identify,ID.AM-01,Hardware inventories are maintained,Do you maintain a current inventory of all hardware assets?,"Hardware asset inventory, CMDB exports, network discovery scans",,Partial
Identify,ID.AM-02,Software and systems inventories are maintained,Do you maintain a current inventory of all software and systems?,"Software inventory, license management system, installed software reports",,Partial
Identify,ID.AM-05,Assets are prioritized by criticality,Do you classify and prioritize assets based on business impact?,"Asset classification scheme, criticality ratings, BIA documentation",,No
Identify,ID.RA-01,Vulnerabilities are identified and recorded,Do you perform regular vulnerability scans and track findings?,"Scan reports, vulnerability register, remediation tracking",,No
Identify,ID.RA-05,Risk prioritization informs response,Do you use risk scoring to prioritize vulnerability remediation?,"Risk scoring methodology, prioritized remediation queue, risk register",,No
Protect,PR.AA-01,Identities and credentials are managed,Do you enforce strong password policies and MFA for privileged access?,"Password policy, MFA enrollment records, IAM configuration",,Yes
Protect,PR.AA-03,Users and services are authenticated,Are all administrative interfaces protected by authentication?,"Admin panel audit, authentication configuration, access logs",,Yes
Protect,PR.DS-01,Data-at-rest is protected,Is encryption enabled for sensitive data at rest?,"Encryption policy, disk encryption status, database encryption config",,No
Protect,PR.DS-02,Data-in-transit is protected,Is TLS 1.2+ enforced for all network communications?,"TLS configuration, certificate inventory, protocol scan results",,Yes
Protect,PR.DS-11,Backups are created and tested,Are backups performed regularly and restoration tested?,"Backup schedule, restoration test logs, backup verification reports",,Partial
Protect,PR.IR-01,Networks are protected from unauthorized access,Is network segmentation implemented with documented firewall rules?,"Network diagram, firewall rules, segmentation documentation",,Yes
Detect,DE.CM-01,Networks are monitored for adverse events,Do you have network monitoring or IDS in place?,"Monitoring tool configuration, alert rules, log review procedures",,No
Detect,DE.CM-09,Computing systems are monitored for adverse events,Do you have endpoint detection or host-based monitoring?,"EDR deployment status, endpoint alert configuration, monitoring coverage",,Yes
Detect,DE.AE-02,Adverse events are analyzed,Do you have a process to triage and analyze security alerts?,"Alert triage SOP, analysis documentation, escalation procedures",,No
Detect,DE.AE-08,Incidents are declared when criteria are met,Are incident declaration criteria defined and documented?,"Incident classification matrix, severity definitions, declaration procedure",,No
Respond,RS.MA-01,Incident response plan is executed,Have you tested your incident response plan in the past 12 months?,"IR plan document, tabletop exercise reports, drill logs",,No
Respond,RS.CO-02,Stakeholders are notified of incidents,Do you have defined communication procedures for incident notification?,"Communication plan, notification templates, contact lists",,No
Respond,RS.MI-01,Incidents are contained,Do you have containment playbooks for common incident types?,"Containment procedures, isolation capabilities, playbook documentation",,No
Respond,RS.MI-02,Incidents are eradicated,Do you document threat removal and validate clean state post-incident?,"Eradication procedures, validation checklists, post-incident reports",,No
Recover,RC.RP-01,Recovery plan is executed,Have you tested system/data recovery procedures in the last 12 months?,"Recovery plan, restoration test logs, RTO/RPO validation",,No
Recover,RC.CO-03,Recovery progress is communicated,Is there a communication plan for recovery status updates?,"Recovery communication plan, status update templates, stakeholder contact list",,No
